timestamp,user,ip,event,status
2026-06-20 12:18:11,user27,192.168.59.198,ACCESS_DENIED,FAILED
2026-06-20 11:53:28,user4,192.168.193.69,LOGIN_FAIL,FAILED
2026-06-20 08:02:21,user17,192.168.175.185,LOGOUT,SUCCESS
2026-06-20 16:16:59,user28,192.168.81.55,ERROR,FAILED
2026-06-20 16:51:34,user13,192.168.148.50,LOGIN_SUCCESS,SUCCESS
2026-06-20 09:03:52,user48,192.168.103.255,ACCESS_DENIED,FAILED
2026-06-20 13:42:32,user4,192.168.167.180,ACCESS_DENIED,FAILED
2026-06-20 17:09:14,user11,192.168.251.195,LOGIN_FAIL,FAILED
2026-06-20 17:14:41,user12,192.168.207.41,LOGIN_FAIL,FAILED
2026-06-20 09:14:13,user16,192.168.122.207,LOGIN_SUCCESS,SUCCESS
2026-06-20 12:28:55,user39,192.168.103.255,LOGIN_FAIL,FAILED
2026-06-20 09:29:32,user43,192.168.1.245,ACCESS_DENIED,FAILED
2026-06-20 17:31:01,user17,192.168.144.138,LOGIN_FAIL,FAILED
2026-06-20 13:43:10,user17,192.168.164.177,LOGIN_SUCCESS,SUCCESS
2026-06-20 13:27:40,user21,192.168.51.40,LOGOUT,SUCCESS
2026-06-20 09:19:14,user30,192.168.71.63,ERROR,FAILED
2026-06-20 09:49:12,user35,192.168.208.223,LOGIN_FAIL,FAILED
2026-06-20 12:49:40,user23,192.168.250.237,FILE_ACCESS,SUCCESS
2026-06-20 12:26:49,user19,192.168.98.153,LOGIN_FAIL,FAILED
2026-06-20 17:53:20,user20,192.168.168.252,ERROR,FAILED
2026-06-20 17:37:44,user43,192.168.71.63,FILE_ACCESS,SUCCESS
2026-06-20 13:27:00,user7,192.168.226.147,LOGOUT,SUCCESS
2026-06-20 10:26:40,user8,192.168.9.207,FILE_ACCESS,SUCCESS
2026-06-20 10:49:47,user19,192.168.69.17,ERROR,FAILED
2026-06-20 14:14:31,user44,192.168.69.180,ERROR,FAILED
2026-06-20 12:48:20,user32,192.168.62.15,LOGIN_SUCCESS,SUCCESS
2026-06-20 08:55:29,user41,192.168.40.56,LOGIN_SUCCESS,SUCCESS
